epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,16407.5,0.64687,0.52699,2.36679,0.78878,0.82485,0.87784,0.66278,0.80626,0.69402,2.63052,0.0003095,0.0003095,0.0003095
78,16602.6,0.63475,0.51602,2.37057,0.80086,0.8611,0.88304,0.66283,0.77415,0.66654,2.62043,0.000297125,0.000297125,0.000297125
79,16796.5,0.61621,0.51038,2.35312,0.78312,0.86616,0.87146,0.66484,0.77037,0.683,2.61136,0.00028475,0.00028475,0.00028475
80,16992,0.6401,0.52539,2.40179,0.83112,0.81935,0.87675,0.6688,0.79545,0.68332,2.58964,0.000272375,0.000272375,0.000272375
81,17188.7,0.63742,0.52257,2.34305,0.75414,0.88894,0.87636,0.67165,0.79046,0.66849,2.5752,0.00026,0.00026,0.00026
82,17365.6,0.63408,0.5083,2.35054,0.7878,0.84178,0.87372,0.66725,0.78333,0.66448,2.62852,0.000247625,0.000247625,0.000247625
83,17556,0.63081,0.50708,2.36054,0.86862,0.76765,0.87913,0.67001,0.77385,0.67254,2.57265,0.00023525,0.00023525,0.00023525
84,17743.5,0.62822,0.51325,2.38873,0.79891,0.834,0.87702,0.68164,0.78041,0.67853,2.58208,0.000222875,0.000222875,0.000222875
85,17946.4,0.62258,0.50316,2.37018,0.77439,0.85505,0.87769,0.6783,0.78078,0.65323,2.60459,0.0002105,0.0002105,0.0002105
86,18144,0.61671,0.4979,2.35042,0.7514,0.87408,0.87034,0.67089,0.7777,0.65653,2.59078,0.000198125,0.000198125,0.000198125
87,18343.3,0.61299,0.49771,2.33494,0.79507,0.84367,0.87036,0.6709,0.78119,0.68282,2.59674,0.00018575,0.00018575,0.00018575
88,18540.9,0.60645,0.49242,2.36095,0.80618,0.83993,0.87545,0.67295,0.78883,0.69661,2.60559,0.000173375,0.000173375,0.000173375
89,18739.7,0.60996,0.48626,2.31573,0.84203,0.78967,0.87463,0.67231,0.78235,0.66931,2.57332,0.000161,0.000161,0.000161
90,18926.5,0.6082,0.49331,2.35372,0.77465,0.86253,0.87017,0.67406,0.7824,0.68903,2.61073,0.000148625,0.000148625,0.000148625
91,19153.8,0.63849,0.52535,2.46707,0.7845,0.83627,0.85296,0.65738,0.81076,0.72278,2.61313,0.00013625,0.00013625,0.00013625
92,19347.7,0.63645,0.50037,2.49954,0.83891,0.81363,0.87303,0.66514,0.79377,0.67608,2.58698,0.000123875,0.000123875,0.000123875
93,19536.4,0.61425,0.47239,2.44876,0.80412,0.83716,0.8748,0.66653,0.79597,0.70703,2.57096,0.0001115,0.0001115,0.0001115
94,19720.9,0.60063,0.46705,2.4216,0.84482,0.79957,0.88451,0.68164,0.77887,0.67358,2.59673,9.9125e-05,9.9125e-05,9.9125e-05
95,19893.4,0.59422,0.45786,2.44308,0.85804,0.80572,0.88444,0.6781,0.78293,0.67447,2.57626,8.675e-05,8.675e-05,8.675e-05
96,20084.9,0.57529,0.44136,2.43544,0.79503,0.8353,0.87947,0.67416,0.78012,0.67999,2.57234,7.4375e-05,7.4375e-05,7.4375e-05
97,20275.8,0.58563,0.44536,2.44284,0.77457,0.86906,0.87825,0.67606,0.78058,0.68296,2.56817,6.2e-05,6.2e-05,6.2e-05
98,20443.9,0.57729,0.43681,2.41873,0.77393,0.87223,0.87545,0.67371,0.77469,0.67915,2.57325,4.9625e-05,4.9625e-05,4.9625e-05
99,20629.4,0.57768,0.4406,2.45715,0.77732,0.87672,0.87831,0.67212,0.77517,0.68298,2.5805,3.725e-05,3.725e-05,3.725e-05
100,20815,0.57374,0.43906,2.41651,0.7812,0.87603,0.87796,0.67417,0.77819,0.68721,2.57917,2.4875e-05,2.4875e-05,2.4875e-05
